[2020-03-18 15:09:53] main.ERROR: Error: Application is not installed yet.  [] []
[2020-03-18 15:12:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2020-03-18 15:12:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["GOOGLE_PRODUCT"],"mode":"matchingTag"}} []
[2020-03-18 15:12:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"identifier":"LOCKED_RECORD_INFO_SYSTEM_CONFIG"}} []
[2020-03-18 15:12:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2020-03-18 15:12:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2020-03-18 15:12:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2020-03-18 15:12:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["VERTEX"],"mode":"matchingTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2020-03-18 15:12:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2work.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
